FID,Corregim 1,Cod_Prov,Provincia,Lat_Prov,Long_Prov,Poblacion Provincia,Cod_Dist,Distrito,Lat_Dist,Long_Dist,Poblacion Dist,Cod_Corr,Corregimiento,Lat,Long,Población
0,Bocas del Toro (Cabecera),1,Bocas del Toro,9.217009544,-82.58460236,125461,101,Bocas del Toro,9.218379974,-82.24299622,16135,10101,Bocas del Toro (Cabecera),9.376999855,-82.23000336,7366
1,Bastimentos,1,Bocas del Toro,9.217009544,-82.58460236,125461,101,Bocas del Toro,9.218379974,-82.24299622,16135,10102,Bastimentos,9.306750298,-82.15049744,1954
2,Cauchero,1,Bocas del Toro,9.217009544,-82.58460236,125461,101,Bocas del Toro,9.218379974,-82.24299622,16135,10103,Cauchero,9.129019737,-82.36039734,2424
3,Punta Laurel,1,Bocas del Toro,9.217009544,-82.58460236,125461,101,Bocas del Toro,9.218379974,-82.24299622,16135,10104,Punta Laurel,9.176690102,-82.10700226,1730
4,Tierra Oscura,1,Bocas del Toro,9.217009544,-82.58460236,125461,101,Bocas del Toro,9.218379974,-82.24299622,16135,10105,Tierra Oscura,9.215089798,-82.24040222,2661
5,Changuinola (Cabecera),1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10201,Changuinola (Cabecera),9.449040413,-82.52200317,31223
6,Guabito,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10203,Guabito,9.486029625,-82.59739685,8387
7,El Teribe,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10204,El Teribe,9.276229858,-82.75060272,2578
8,El Empalme,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10206,El Empalme,9.41201973,-82.50379944,18653
9,Las Tablas,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10207,Las Tablas,9.533579826,-82.7417984,9286
10,Cochigró,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10208,Cochigró,9.263939857,-82.55979919,1812
11,La Gloria,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Almirante,9.339300156,-82.46080017,98310,10209,La Gloria,9.381150246,-82.44139862,3046
12,Las Delicias,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10210,Las Delicias,9.417920113,-82.85350037,1484
13,Barriada 4 de Abril,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10213,Barriada 4 de Abril,9.467209816,-82.53910065,0
14,El Silencio,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10214,El Silencio,9.395179749,-82.57929993,0
15,Finca 6,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10215,Finca 6,9.487480164,-82.49839783,0
16,Finca 30,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10216,Finca 30,9.431570053,-82.55799866,0
17,Finca 60,1,Bocas del Toro,9.217009544,-82.58460236,125461,102,Changuinola,9.339300156,-82.46080017,98310,10217,Finca 60,9.448840141,-82.48000336,0
18,Chiriquí Grande (Cabecera),1,Bocas del Toro,9.217009544,-82.58460236,125461,103,Chiriquí Grande,8.98388958,-82.20220184,11016,10301,Chiriquí Grande (Cabecera),8.933210373,-82.11620331,3014
19,Miramar,1,Bocas del Toro,9.217009544,-82.58460236,125461,103,Chiriquí Grande,8.98388958,-82.20220184,11016,10302,Miramar,8.985460281,-82.22029877,1232
20,Punta Peña,1,Bocas del Toro,9.217009544,-82.58460236,125461,103,Chiriquí Grande,8.98388958,-82.20220184,11016,10303,Punta Peña,8.890629768,-82.1753006,2520
21,Punta Róbalo,1,Bocas del Toro,9.217009544,-82.58460236,125461,103,Chiriquí Grande,8.98388958,-82.20220184,11016,10304,Punta Róbalo,9.04240036,-82.27839661,1164
22,Rambala,1,Bocas del Toro,9.217009544,-82.58460236,125461,103,Chiriquí Grande,8.98388958,-82.20220184,11016,10305,Rambala,8.94836998,-82.17880249,1682
23,Bajo Cedro,1,Bocas del Toro,9.217009544,-82.58460236,125461,103,Chiriquí Grande,8.98388958,-82.20220184,11016,10306,Bajo Cedro,9.119190216,-82.30000305,1404
24,Almirante (Cabecera),1,Bocas del Toro,9.217009544,-82.58460236,125461,104,Almirante,9.066599846,-82.55999756,0,10401,Almirante (Cabecera),9.320110321,-82.39890289,0
25,Barrio Francés,1,Bocas del Toro,9.217009544,-82.58460236,125461,104,Almirante,9.066599846,-82.55999756,0,10402,Barrio Francés,9.300880432,-82.37110138,0
26,Barriada Guaymí,1,Bocas del Toro,9.217009544,-82.58460236,125461,104,Almirante,9.066599846,-82.55999756,0,10403,Barriada Guaymí,9.303290367,-82.43370056,0
27,Nance de Riscó,1,Bocas del Toro,9.217009544,-82.58460236,125461,104,Almirante,9.066599846,-82.55999756,0,10404,Nance de Riscó,9.065810204,-82.6493988,0
28,Valle de Aguas Arriba,1,Bocas del Toro,9.217009544,-82.58460236,125461,104,Almirante,9.066599846,-82.55999756,0,10405,Valle de Aguas Arriba,9.218999863,-82.373703,0
29,Valle de Riscó,1,Bocas del Toro,9.217009544,-82.58460236,125461,104,Almirante,9.066599846,-82.55999756,0,10406,Valle de Riscó,9.014149666,-82.44280243,0
119,Alanje (Cabecera),4,Chiriquí,8.487159729,-82.40370178,416873,401,Alanje,8.379460335,-82.61840057,16508,40101,Alanje (Cabecera),8.402759552,-82.55909729,2406
120,Divalá,4,Chiriquí,8.487159729,-82.40370178,416873,401,Alanje,8.379460335,-82.61840057,16508,40102,Divalá,8.402759552,-82.68720245,3457
